year,month,mean_temp_monthly,blh_monthly,station_id
2022,10,11.73,338.3,nowa_huta
2022,11,4.58,240.5,nowa_huta
2022,12,0.26,332.6,nowa_huta
2023,1,3.02,423.6,nowa_huta
2023,2,1.53,624.7,nowa_huta
2023,3,5.69,610.0,nowa_huta
2023,4,7.78,566.6,nowa_huta
2023,5,12.89,534.1,nowa_huta
2023,6,17.85,549.8,nowa_huta
2023,7,20.93,585.4,nowa_huta
2023,8,20.8,426.7,nowa_huta
2023,9,17.99,386.5,nowa_huta
2023,10,12.69,474.9,nowa_huta
2023,11,5.27,536.6,nowa_huta
2023,12,1.88,496.9,nowa_huta
2024,1,-0.33,,nowa_huta
2024,2,6.63,,nowa_huta
2024,3,7.53,,nowa_huta
2024,4,11.54,,nowa_huta
2024,5,16.65,,nowa_huta
2024,6,19.81,,nowa_huta
2024,7,22.03,597.0,nowa_huta
2024,8,21.37,481.1,nowa_huta
2024,9,17.25,484.8,nowa_huta
2024,10,10.4,315.7,nowa_huta
2024,11,3.68,392.5,nowa_huta
2024,12,1.91,340.3,nowa_huta
2019,1,-1.86,517.1,os_piastow
2019,2,2.86,459.7,os_piastow
2019,3,6.12,704.5,os_piastow
2019,4,10.19,596.3,os_piastow
2019,5,12.43,535.5,os_piastow
2019,6,21.7,565.8,os_piastow
2019,7,19.37,677.9,os_piastow
2019,8,20.41,471.0,os_piastow
2019,9,14.93,549.3,os_piastow
2019,10,11.2,342.5,os_piastow
2019,11,6.91,254.3,os_piastow
2019,12,2.82,379.0,os_piastow
2020,1,1.24,349.5,os_piastow
2020,2,4.07,660.8,os_piastow
2020,3,4.88,603.5,os_piastow
2020,4,9.73,665.4,os_piastow
2020,5,11.77,654.9,os_piastow
2020,6,18.19,509.2,os_piastow
2020,7,19.06,542.3,os_piastow
2020,8,20.84,562.5,os_piastow
2020,9,15.55,378.8,os_piastow
2020,10,10.5,368.4,os_piastow
2020,11,5.12,265.7,os_piastow
2020,12,1.46,221.6,os_piastow
2021,1,-1.48,334.1,os_piastow
2021,2,-1.18,358.0,os_piastow
2021,3,3.45,535.1,os_piastow
2021,4,6.32,619.2,os_piastow
2021,5,12.44,657.2,os_piastow
2021,6,19.22,564.1,os_piastow
2021,7,21.38,500.9,os_piastow
2021,8,17.5,497.4,os_piastow
2021,9,14.43,463.6,os_piastow
2021,10,9.04,390.5,os_piastow
2021,11,5.16,383.7,os_piastow
2021,12,-0.31,397.5,os_piastow
2022,1,0.35,644.0,os_piastow
2022,2,3.23,750.2,os_piastow
2022,3,2.72,423.3,os_piastow
2022,4,6.81,638.4,os_piastow
2022,5,14.67,633.0,os_piastow
2022,6,19.55,618.5,os_piastow
2022,7,19.63,617.6,os_piastow
2022,8,20.87,440.8,os_piastow
2022,9,13.29,495.8,os_piastow
2022,10,11.62,338.3,os_piastow
2022,11,4.28,240.5,os_piastow
2022,12,0.27,332.6,os_piastow
